"id","Comm_tbl_IssueBoard_ID","IssuingBoardName","DateCreated"
85,DAA7E6A2-2A83-484E-9764-21BCE92875CB,AOA - Orthopedic Surgery,2001-07-14 15:03:35.000
855,"3A48D86A-7216-4B48-A9F2-2208AAE52BC8",American Board of Family Practice,2010-07-14 18:07:27.600
923,"86EACB65-0CCA-4582-AF49-239585537643",IMED,2010-07-14 18:07:27.600
943,"1A919A30-7610-4D94-898B-27629D892665",American Board of Foot and Ankle Surgery,2018-10-30 11:24:27.907
888,"9DD4E3B0-127B-4184-8DA2-27777077F889",AB of Registration of Electroencephalographic & EP,2010-07-14 18:07:27.600
922,"1A8079D4-600F-47E6-9BE3-27FDFA7AD7BB",GAST,2010-07-14 18:07:27.600
103,E7FA72AA-9E48-414A-9B54-290B396133CA,APMA - Podiatric Orthopedics & Primary Podiatric Medicine,2001-07-14 15:03:35.000
901,"5DDCED3A-419A-42F4-8023-29635B91BF51",American Academy of Nurse Practitioners,2010-07-14 18:07:27.600
927,"80B59840-421C-49C0-A6B6-29890C7E103C",ORTH,2010-07-14 18:07:27.600
944,"4547F7AE-6A73-4ECF-B903-29920EA0C47D",ABMS : Anesthesiology/Pain Medicine,2020-02-20 13:11:00.587
910,F40AF471-F4C0-44F4-A476-29B7E58830F6,American Osteopathic Board FP/Geriatric Medicine,2010-07-14 18:07:27.600
98,"006B86E6-37F9-4D85-A09D-2ABC3B7C095D",ADA - Orthodontics,2001-07-14 15:03:35.000
889,"5C8A0FC3-0946-4F5A-8AD8-2BBE0B076B5D",American Bd of Reg Electroencephalographic & EPT,2010-07-14 18:07:27.600
89,"3C84D3F2-6185-4CA0-BCDC-2F52F661213A",AOA - Proctology,2001-07-14 15:03:35.000
873,DCAC6E9B-F7CD-4E0E-9D7D-2F9735E3CDCA,American Board of Oral and Maxillofacial Surgery,2010-07-14 18:07:27.600
78,"6EC755F5-92CA-4503-8B29-30D3F4F5C941",AOA - Family Practice,2001-07-14 15:03:35.000
872,C08DE7CD-1EFE-42E3-AD3C-31E04E66262A,American Board OB/GYN Reproductive Endo/Infert.,2010-07-14 18:07:27.600
55,"1053FE09-4C7A-4EA2-8E19-321322506CAA",ABMS - Family Medicine,2001-07-14 15:03:35.000
887,"5C69554F-87DF-450C-B49A-3253137D7BD0",American Board of Radiology/Diagnostic Radiology,2010-07-14 18:07:27.600
851,C6275A07-A3E8-4189-943C-33A4F1EC15D1,American Board of Anesthesiology/Pain Management,2010-07-14 18:07:27.600
95,B7256B39-07C7-4A7B-A149-33BD708EA23C,ADA - Endodontics,2001-07-14 15:03:35.000
213,E84CE340-E7AB-4373-BF15-353DB0DCD4A3,Medical Board of Bariatric Medicine,2007-10-25 09:17:11.593
107,"043DEB81-7277-42F0-B2E3-3AFE46C41C91",Other - Medical Genetics,2001-07-14 15:03:35.000
912,"93841207-8D36-4EB6-A0E7-3BCCB22226FE",BCEM,2010-07-14 18:07:27.600
